ts_event,open,high,low,close,volume
183 ,"2,072,000","2,078,000","2,070,000","2,073,000","24,201"
184 ,"2,074,000","2,074,000","2,050,000","2,052,000","40,616"
185 ,"2,052,000","2,065,000","2,049,000","2,061,000","25,818"
186 ,"2,061,000","2,062,000","2,050,000","2,050,000","17,976"
187 ,"2,050,000","2,055,000","2,036,000","2,055,000","32,564"
188 ,"2,054,000","2,055,000","2,039,000","2,041,000","24,176"
189 ,"2,041,000","2,044,000","2,033,000","2,035,000","22,483"
190 ,"2,035,000","2,036,000","2,027,000","2,031,000","27,845"
191 ,"2,031,000","2,037,000","2,029,000","2,032,000","16,050"
192 ,"2,032,000","2,033,000","2,014,000","2,019,000","37,950"
193 ,"2,020,000","2,025,000","2,011,000","2,011,000","23,952"
194 ,"2,010,000","2,029,000","2,010,000","2,028,000","23,212"
195 ,"2,029,000","2,030,000","2,012,000","2,014,000","22,589"
196 ,"2,014,000","2,024,000","2,011,000","2,019,000","21,204"
197 ,"2,018,000","2,023,000","2,015,000","2,022,000","16,157"
198 ,"2,021,000","2,022,000","2,016,000","2,017,000","11,766"
199 ,"2,017,000","2,017,000","2,012,000","2,015,000","17,739"
200 ,"2,016,000","2,016,000","2,010,000","2,010,000","20,380"
201 ,"2,010,000","2,011,000","2,001,000","2,006,000","52,710"
202 ,"2,006,000","2,013,000","2,004,000","2,012,000","28,073"
203 ,"2,011,000","2,014,000","2,007,000","2,009,000","40,773"
204 ,"2,008,000","2,025,000","2,008,000","2,009,000","51,497"
205 ,"2,010,000","2,019,000","2,009,000","2,015,000","82,599"
206 ,"1,959,000","1,973,000","1,914,000","1,934,000","292,652"
207 ,"1,934,000","1,953,000","1,933,000","1,943,000","147,500"
208 ,"1,943,000","1,978,000","1,941,000","1,964,000","149,794"
209 ,"1,964,000","1,976,000","1,958,000","1,959,000","79,024"
210 ,"1,958,000","1,983,000","1,958,000","1,980,000","92,722"
211 ,"1,975,000","2,006,000","1,960,000","1,980,000","626,132"
212 ,"1,978,000","2,056,000","1,977,000","2,053,000","450,465"
213 ,"2,053,000","2,066,000","2,035,000","2,050,000","368,380"
214 ,"2,050,000","2,052,000","2,016,000","2,018,000","249,257"
215 ,"2,018,000","2,039,000","2,013,000","2,035,000","166,547"
216 ,"2,036,000","2,090,000","2,035,000","2,089,000","356,520"
217 ,"2,088,000","2,135,000","2,075,000","2,135,000","471,622"
218 ,"2,134,000","2,163,000","2,109,000","2,126,000","436,137"
219 ,"2,126,000","2,130,000","2,100,000","2,124,000","297,401"
220 ,"2,122,000","2,129,000","2,093,000","2,125,000","224,132"
221 ,"2,124,000","2,139,000","2,120,000","2,130,000","165,731"
222 ,"2,130,000","2,133,000","2,096,000","2,099,000","163,106"
223 ,"2,099,000","2,114,000","2,089,000","2,090,000","152,602"
224 ,"2,089,000","2,090,000","2,048,000","2,052,000","265,455"
225 ,"2,052,000","2,065,000","2,031,000","2,054,000","225,085"
226 ,"2,053,500","2,073,000","2,044,000","2,068,000","139,641"
227 ,"2,068,000","2,076,000","2,058,000","2,067,000","92,256"
228 ,"2,068,000","2,079,000","2,061,000","2,073,000","87,131"
229 ,"2,072,000","2,077,000","2,058,000","2,061,000","77,905"
230 ,"2,061,000","2,063,000","2,045,000","2,054,000","87,015"
231 ,"2,054,000","2,070,000","2,048,000","2,067,000","64,314"
232 ,"2,067,000","2,096,000","2,064,000","2,094,000","107,912"
233 ,"2,094,000","2,095,000","2,081,000","2,090,000","78,925"
234 ,"2,090,000","2,108,000","2,090,000","2,106,000","108,935"
235 ,"2,107,000","2,118,000","2,090,000","2,099,000","143,945"
236 ,"2,099,000","2,100,000","2,075,000","2,087,000","99,172"
237 ,"2,087,000","2,105,000","2,086,000","2,095,000","86,126"
