ts_event,open,high,low,close,volume
145 ,"30,032.25","30,036.50","30,014.50","30,022.25","2,533"
146 ,"30,021.75","30,040.25","30,018.75","30,035.00","1,833"
147 ,"30,036.00","30,042.75","30,028.50","30,036.00","1,601"
148 ,"30,036.75","30,041.25","30,016.25","30,020.50","2,031"
149 ,"30,021.00","30,028.00","30,011.00","30,023.00","2,337"
150 ,"30,023.00","30,043.00","30,021.00","30,041.00","1,838"
151 ,"30,041.00","30,045.75","30,029.00","30,031.25","1,650"
152 ,"30,031.75","30,060.50","30,031.75","30,053.25","2,399"
153 ,"30,053.00","30,058.25","30,043.00","30,046.75","2,401"
154 ,"30,046.25","30,065.50","30,040.00","30,061.75","2,524"
155 ,"30,063.00","30,081.75","30,056.00","30,078.00","3,965"
156 ,"30,078.00","30,118.00","30,071.50","30,114.75","6,858"
157 ,"30,115.25","30,130.00","30,107.75","30,116.75","4,099"
158 ,"30,116.75","30,120.25","30,108.00","30,112.75","2,916"
159 ,"30,112.25","30,130.25","30,105.25","30,105.75","3,371"
160 ,"30,105.75","30,106.25","30,091.00","30,096.25","3,662"
161 ,"30,095.75","30,145.00","30,094.75","30,144.50","5,330"
162 ,"30,144.25","30,151.25","30,128.25","30,131.75","3,396"
163 ,"30,131.25","30,143.00","30,129.00","30,138.25","2,024"
164 ,"30,138.50","30,141.75","30,131.25","30,135.50","1,466"
165 ,"30,136.25","30,157.75","30,134.50","30,149.00","2,917"
166 ,"30,150.00","30,169.75","30,148.50","30,169.50","2,491"
167 ,"30,169.25","30,179.00","30,162.00","30,176.50","2,952"
168 ,"30,176.25","30,196.00","30,176.00","30,193.50","3,719"
169 ,"30,193.00","30,202.75","30,183.00","30,201.00","3,703"
170 ,"30,200.50","30,209.00","30,183.50","30,194.50","3,803"
171 ,"30,194.50","30,204.75","30,183.00","30,196.50","3,245"
172 ,"30,196.25","30,202.00","30,185.50","30,186.50","1,742"
173 ,"30,186.00","30,217.25","30,182.75","30,202.50","5,238"
174 ,"30,202.75","30,207.00","30,191.50","30,192.50","2,041"
175 ,"30,192.50","30,196.25","30,182.25","30,193.25","2,772"
176 ,"30,192.00","30,194.25","30,170.50","30,173.50","3,760"
177 ,"30,174.25","30,196.00","30,171.50","30,190.75","3,074"
178 ,"30,191.00","30,192.75","30,155.25","30,161.25","4,807"
179 ,"30,161.75","30,164.75","30,131.00","30,135.25","5,071"
180 ,"30,134.50","30,139.50","30,115.75","30,138.75","4,335"
181 ,"30,138.00","30,163.75","30,137.50","30,146.00","4,539"
182 ,"30,145.75","30,158.75","30,141.75","30,158.25","2,060"
183 ,"30,157.75","30,169.25","30,146.00","30,162.75","2,349"
184 ,"30,162.25","30,170.75","30,154.75","30,167.25","2,055"
185 ,"30,167.25","30,173.50","30,150.50","30,167.00","4,087"
186 ,"30,166.00","30,167.50","30,148.50","30,155.50","2,615"
187 ,"30,155.25","30,163.50","30,146.25","30,152.25","2,557"
188 ,"30,151.50","30,152.50","30,136.75","30,143.75","2,520"
189 ,"30,142.50","30,146.75","30,129.00","30,136.75","2,759"
190 ,"30,136.50","30,154.00","30,118.25","30,144.25","4,516"
191 ,"30,144.25","30,148.75","30,098.25","30,105.50","4,954"
192 ,"30,106.75","30,121.50","30,099.00","30,112.75","3,181"
193 ,"30,112.25","30,122.50","30,103.50","30,106.00","1,803"
194 ,"30,106.25","30,127.25","30,103.00","30,126.50","2,851"
195 ,"30,126.50","30,129.50","30,119.00","30,121.75","1,844"
196 ,"30,122.50","30,134.00","30,118.75","30,132.50","1,562"
197 ,"30,132.50","30,150.00","30,121.25","30,136.75","4,510"
198 ,"30,136.00","30,151.00","30,117.00","30,124.75","3,369"
199 ,"30,123.75","30,124.00","30,107.25","30,112.50","2,621"
200 ,"30,112.75","30,124.00","30,110.25","30,115.50","2,298"
201 ,"30,115.75","30,132.00","30,109.75","30,128.00","1,864"
202 ,"30,127.75","30,135.75","30,114.50","30,117.25","1,755"
203 ,"30,117.50","30,131.00","30,114.75","30,119.25","1,984"
204 ,"30,118.75","30,131.50","30,113.00","30,115.25","1,606"
205 ,"30,115.50","30,122.75","30,102.50","30,105.00","2,239"
206 ,"30,105.00","30,107.25","30,086.00","30,095.75","3,957"
207 ,"30,096.00","30,097.00","30,069.50","30,089.50","4,346"
208 ,"30,089.75","30,094.75","30,078.50","30,081.75","2,005"
209 ,"30,082.25","30,124.00","30,066.25","30,104.25","6,579"
210 ,"30,103.75","30,127.25","30,102.00","30,110.00","4,153"
211 ,"30,109.75","30,124.75","30,089.00","30,089.75","3,193"
212 ,"30,090.25","30,093.25","30,068.25","30,091.50","4,089"
213 ,"30,092.00","30,119.00","30,090.75","30,117.50","3,586"
214 ,"30,117.00","30,127.75","30,112.25","30,124.25","2,524"
215 ,"30,124.00","30,135.00","30,078.25","30,079.50","5,333"
216 ,"30,079.50","30,085.75","30,036.50","30,037.25","6,311"
217 ,"30,036.50","30,054.25","30,019.50","30,046.75","5,729"
218 ,"30,047.50","30,051.00","30,029.25","30,037.25","3,473"
219 ,"30,037.25","30,065.50","30,022.75","30,064.75","4,348"
220 ,"30,064.50","30,074.00","30,059.25","30,069.50","2,591"
221 ,"30,070.00","30,083.25","30,060.25","30,080.25","3,377"
222 ,"30,080.50","30,082.25","30,061.25","30,061.75","2,343"
223 ,"30,061.50","30,078.75","30,057.75","30,075.00","2,696"
224 ,"30,074.50","30,087.75","30,073.25","30,080.75","2,509"
225 ,"30,081.25","30,084.00","30,063.00","30,067.50","2,367"
226 ,"30,067.25","30,076.50","30,059.00","30,059.50","2,582"
227 ,"30,059.50","30,062.75","30,034.25","30,040.50","4,062"
228 ,"30,040.00","30,071.00","30,039.50","30,071.00","3,161"
229 ,"30,070.50","30,079.25","30,067.25","30,071.50","2,174"
230 ,"30,071.00","30,092.50","30,071.00","30,090.75","2,234"
231 ,"30,090.25","30,094.00","30,079.50","30,081.75","2,565"
232 ,"30,082.25","30,089.00","30,078.25","30,081.75","1,572"
233 ,"30,082.50","30,096.50","30,071.75","30,079.25","3,524"
234 ,"30,079.25","30,096.25","30,076.25","30,088.50","2,391"
235 ,"30,088.00","30,103.00","30,068.00","30,101.50","4,161"
236 ,"30,101.75","30,112.75","30,100.25","30,108.50","3,548"
237 ,"30,108.50","30,115.00","30,099.25","30,103.50","2,179"
238 ,"30,103.25","30,118.50","30,101.75","30,115.25","2,951"
239 ,"30,115.00","30,117.25","30,099.00","30,101.75","2,354"
240 ,"30,101.25","30,102.00","30,086.25","30,095.75","2,841"
241 ,"30,096.25","30,109.25","30,094.50","30,102.00","2,262"
242 ,"30,101.75","30,122.50","30,090.50","30,116.50","3,100"
243 ,"30,116.50","30,128.75","30,111.75","30,125.75","3,103"
244 ,"30,125.00","30,151.25","30,121.00","30,140.75","4,060"
245 ,"30,140.75","30,153.75","30,129.00","30,150.50","3,563"
246 ,"30,150.75","30,169.75","30,150.25","30,159.50","4,217"
247 ,"30,159.75","30,164.50","30,151.00","30,163.75","2,353"
248 ,"30,164.25","30,168.50","30,145.00","30,148.25","2,858"
249 ,"30,149.25","30,153.25","30,123.25","30,123.75","3,929"
250 ,"30,124.25","30,136.00","30,115.00","30,134.50","5,060"
251 ,"30,134.25","30,146.75","30,120.25","30,129.00","3,667"
252 ,"30,128.50","30,138.75","30,121.75","30,127.50","2,682"
253 ,"30,126.75","30,155.75","30,124.50","30,149.50","3,436"
254 ,"30,149.50","30,169.00","30,144.50","30,166.00","4,314"
255 ,"30,166.50","30,175.50","30,153.50","30,157.75","4,386"
256 ,"30,158.00","30,159.25","30,136.00","30,137.50","3,155"
257 ,"30,138.00","30,142.75","30,094.75","30,102.50","6,954"
258 ,"30,102.25","30,111.00","30,089.75","30,100.25","5,632"
259 ,"30,100.00","30,123.00","30,082.75","30,090.00","6,287"
260 ,"30,090.50","30,096.50","30,078.50","30,083.75","5,720"
261 ,"30,083.25","30,085.00","30,056.25","30,066.00","6,189"
262 ,"30,065.50","30,068.25","30,035.00","30,038.25","7,858"
263 ,"30,038.25","30,048.00","30,004.25","30,017.75","10,394"
264 ,"30,018.50","30,047.25","30,017.50","30,046.75","7,444"
265 ,"30,046.00","30,058.75","30,037.00","30,048.75","6,379"
266 ,"30,047.75","30,053.75","30,027.25","30,041.25","6,904"
267 ,"30,041.25","30,045.75","30,028.50","30,033.25","4,374"
268 ,"30,033.50","30,035.75","30,008.00","30,012.00","8,735"
269 ,"30,013.00","30,031.75","30,005.75","30,014.75","9,756"
270 ,"30,015.50","30,030.00","30,006.75","30,023.25","7,575"
271 ,"30,023.50","30,045.75","30,021.25","30,029.25","8,085"
272 ,"30,029.75","30,037.50","30,014.75","30,023.00","7,890"
273 ,"30,022.50","30,032.50","29,996.50","30,000.50","9,324"
274 ,"30,000.50","30,053.50","29,999.75","30,048.00","16,489"
275 ,"30,047.75","30,189.25","30,034.25","30,179.00","71,965"
276 ,"30,179.50","30,264.00","30,156.50","30,189.00","65,437"
277 ,"30,188.50","30,242.25","30,152.75","30,214.50","43,003"
278 ,"30,215.50","30,254.00","30,191.25","30,212.25","47,958"
279 ,"30,212.25","30,312.25","30,198.75","30,292.75","53,790"
280 ,"30,293.50","30,367.00","30,293.50","30,365.25","33,016"
281 ,"30,367.00","30,393.75","30,274.25","30,391.50","55,408"
282 ,"30,391.75","30,391.75","30,320.50","30,334.25","42,879"
283 ,"30,334.50","30,367.25","30,305.75","30,352.75","42,042"
284 ,"30,352.75","30,381.25","30,333.25","30,364.50","33,561"
285 ,"30,364.50","30,423.25","30,349.00","30,411.50","32,574"
286 ,"30,410.75","30,427.50","30,384.50","30,410.25","25,929"
287 ,"30,410.00","30,441.25","30,403.00","30,440.50","26,297"
288 ,"30,440.00","30,441.75","30,386.50","30,405.50","30,732"
289 ,"30,406.00","30,420.00","30,369.25","30,412.00","32,619"
290 ,"30,412.25","30,413.00","30,345.00","30,351.50","34,244"
291 ,"30,351.25","30,379.00","30,310.50","30,316.25","30,575"
292 ,"30,316.25","30,346.50","30,282.25","30,304.25","37,501"
293 ,"30,304.00","30,371.75","30,298.25","30,367.75","32,130"
294 ,"30,368.00","30,390.75","30,358.00","30,385.00","22,913"
295 ,"30,385.25","30,410.50","30,360.00","30,401.50","23,621"
296 ,"30,401.50","30,407.75","30,368.75","30,381.00","20,068"
297 ,"30,380.50","30,403.75","30,374.25","30,394.50","16,809"
298 ,"30,394.50","30,416.00","30,390.00","30,411.00","16,118"
299 ,"30,411.25","30,431.75","30,398.00","30,430.00","18,344"
300 ,"30,430.25","30,433.75","30,401.50","30,408.50","17,008"
301 ,"30,408.50","30,427.00","30,393.50","30,416.00","16,949"
302 ,"30,416.00","30,440.25","30,415.25","30,431.25","16,293"
303 ,"30,431.25","30,468.00","30,429.25","30,467.75","20,904"
304 ,"30,467.25","30,482.00","30,458.75","30,460.00","17,304"
305 ,"30,460.25","30,487.75","30,453.00","30,483.00","15,609"
306 ,"30,483.25","30,496.00","30,479.50","30,484.25","12,645"
307 ,"30,484.00","30,489.50","30,473.75","30,487.25","10,390"
308 ,"30,487.75","30,508.00","30,482.00","30,500.75","14,941"
309 ,"30,501.00","30,504.75","30,486.75","30,496.75","9,179"
310 ,"30,497.50","30,510.00","30,486.75","30,494.50","10,374"
311 ,"30,494.50","30,501.75","30,477.75","30,486.00","11,226"
312 ,"30,486.50","30,500.50","30,485.00","30,499.75","8,120"
313 ,"30,499.00","30,514.50","30,493.00","30,512.00","10,390"
314 ,"30,511.75","30,538.25","30,509.50","30,537.50","13,411"
315 ,"30,537.50","30,546.50","30,529.50","30,543.25","10,437"
316 ,"30,543.00","30,546.50","30,520.75","30,528.00","9,977"
317 ,"30,528.00","30,558.00","30,525.75","30,550.75","12,849"
318 ,"30,550.50","30,563.00","30,544.50","30,555.25","8,608"
319 ,"30,555.50","30,556.25","30,534.50","30,535.00","9,004"
320 ,"30,535.00","30,545.25","30,530.00","30,542.75","10,078"
321 ,"30,542.75","30,553.75","30,533.50","30,539.75","11,550"
322 ,"30,540.00","30,544.25","30,524.75","30,530.25","8,916"
323 ,"30,530.25","30,532.75","30,515.25","30,530.50","11,549"
324 ,"30,530.50","30,540.00","30,518.00","30,521.50","9,813"
